Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Geoffrey40@hotmail.com,577-45-0448,7/29/1950,Rath,Gideon,,M,123 RandStreet,Dallas,Texas,17001,1-750-904-6068,136-712-1850,Class A,Title Test,Active,8/24/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Dave.Greenfelder@hotmail.com,392-34-7761,4/25/2018,Wyman,Logan,,M,123 RandStreet,Dallas,Texas,17001,849.525.9531 x371,901-034-6346,Class A,Title Test,Active,10/7/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Gregoria_Bosco14@hotmail.com,875-74-2783,2/7/1989,Mosciski,Alec,,F,123 RandStreet,Dallas,Texas,17001,1-589-386-7705 x671,252-901-7340,Class A,Title Test,Active,6/12/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Mariane.Pollich@hotmail.com,232-69-5055,7/2/2016,Leannon,Rickey,,M,123 RandStreet,Dallas,Texas,17001,255.352.4143 x9287,644-047-1796,Class A,Title Test,Active,7/25/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Juliet.Spencer16@hotmail.com,451-43-4700,9/25/1989,Upton,Wilhelmine,,F,123 RandStreet,Dallas,Texas,17001,(431) 337-1387 x273,263-696-2176,Class A,Title Test,Active,6/2/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Jonatan4@gmail.com,896-46-3039,6/16/2011,Mosciski,Troy,,M,123 RandStreet,Dallas,Texas,17001,361-480-8911 x12987,862-511-9916,Class A,Title Test,Active,8/17/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Jess.Wintheiser68@gmail.com,788-78-2901,9/6/1941,Pfeffer,Naomi,,F,123 RandStreet,Dallas,Texas,17001,1-592-942-8729 x852,789-929-3006,Class A,Title Test,Active,4/1/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Chet.Schiller45@gmail.com,863-31-0774,12/26/2020,Wunsch-Pagac,Jaylon,,M,123 RandStreet,Dallas,Texas,17001,977-239-0802 x64221,105-497-2217,Class A,Title Test,Active,7/26/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Brandy72@yahoo.com,400-64-9965,5/21/1948,Kassulke,Jacey,,M,123 RandStreet,Dallas,Texas,17001,883-212-2114 x39946,848-525-1137,Class A,Title Test,Active,4/19/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Melody.Dooley@yahoo.com,005-12-8238,4/19/2006,Abbott,Sincere,,M,123 RandStreet,Dallas,Texas,17001,624-378-5154 x90396,175-855-6725,Class A,Title Test,Active,3/11/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
